 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
  1025.000,    575.000,     0.010, 0.2889E+00,  0.100
  1025.000,    625.000,     0.010, 0.2832E+00,  0.100
  1025.000,    675.000,     0.010, 0.1725E+00,  0.100
  1025.000,    725.000,     0.010, 0.7361E-01,  0.100
  1025.000,    775.000,     0.010,-0.1239E+00,  0.100
  1025.000,    825.000,     0.010,-0.6312E-01,  0.100
  1025.000,    875.000,     0.010,-0.3703E-01,  0.100
  1025.000,    925.000,     0.010,-0.6324E-01,  0.100
  1025.000,    975.000,     0.010,-0.1313E-01,  0.100
  1075.000,     25.000,     0.010, 0.1188E+01,  0.100
  1075.000,     75.000,     0.010, 0.1457E+01,  0.100
  1075.000,    125.000,     0.010, 0.1681E+01,  0.100
  1075.000,    175.000,     0.010, 0.2085E+01,  0.100
  1075.000,    225.000,     0.010, 0.2363E+01,  0.100
  1075.000,    275.000,     0.010, 0.1934E+01,  0.100
  1075.000,    325.000,     0.010, 0.1868E+01,  0.100
  1075.000,    375.000,     0.010, 0.1437E+01,  0.100
  1075.000,    425.000,     0.010, 0.7855E+00,  0.100
  1075.000,    475.000,     0.010, 0.6607E+00,  0.100
  1075.000,    525.000,     0.010, 0.4830E+00,  0.100
  1075.000,    575.000,     0.010, 0.3048E+00,  0.100
  1075.000,    625.000,     0.010, 0.3169E-01,  0.100
  1075.000,    675.000,     0.010,-0.1533E+00,  0.100
  1075.000,    725.000,     0.010,-0.1366E+00,  0.100
  1075.000,    775.000,     0.010,-0.9855E-01,  0.100
  1075.000,    825.000,     0.010,-0.1326E+00,  0.100
  1075.000,    875.000,     0.010,-0.1655E+00,  0.100
  1075.000,    925.000,     0.010,-0.2246E+00,  0.100
  1075.000,    975.000,     0.010, 0.6819E-01,  0.100
  1125.000,     25.000,     0.010, 0.1181E+01,  0.100
  1125.000,     75.000,     0.010, 0.1549E+01,  0.100
  1125.000,    125.000,     0.010, 0.2060E+01,  0.100
  1125.000,    175.000,     0.010, 0.2280E+01,  0.100
  1125.000,    225.000,     0.010, 0.2473E+01,  0.100
  1125.000,    275.000,     0.010, 0.2233E+01,  0.100
  1125.000,    325.000,     0.010, 0.2079E+01,  0.100
  1125.000,    375.000,     0.010, 0.1235E+01,  0.100
  1125.000,    425.000,     0.010, 0.9192E+00,  0.100
  1125.000,    475.000,     0.010, 0.6749E+00,  0.100
  1125.000,    525.000,     0.010, 0.1939E+00,  0.100
  1125.000,    575.000,     0.010,-0.2694E-01,  0.100
  1125.000,    625.000,     0.010,-0.3807E+00,  0.100
  1125.000,    675.000,     0.010,-0.5838E+00,  0.100
  1125.000,    725.000,     0.010,-0.6415E+00,  0.100
  1125.000,    775.000,     0.010,-0.6784E+00,  0.100
  1125.000,    825.000,     0.010,-0.3501E+00,  0.100
  1125.000,    875.000,     0.010,-0.5010E+00,  0.100
  1125.000,    925.000,     0.010,-0.3246E+00,  0.100
  1125.000,    975.000,     0.010,-0.2580E+00,  0.100
  1175.000,     25.000,     0.010, 0.1037E+01,  0.100
  1175.000,     75.000,     0.010, 0.1496E+01,  0.100
  1175.000,    125.000,     0.010, 0.1881E+01,  0.100
  1175.000,    175.000,     0.010, 0.2295E+01,  0.100
  1175.000,    225.000,     0.010, 0.2690E+01,  0.100
  1175.000,    275.000,     0.010, 0.2449E+01,  0.100
  1175.000,    325.000,     0.010, 0.2052E+01,  0.100
  1175.000,    375.000,     0.010, 0.1271E+01,  0.100
  1175.000,    425.000,     0.010, 0.7479E+00,  0.100
  1175.000,    475.000,     0.010, 0.4220E+00,  0.100
  1175.000,    525.000,     0.010, 0.2073E+00,  0.100
  1175.000,    575.000,     0.010,-0.3245E+00,  0.100
