 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   925.000,    825.000,     0.010, 0.3572E+00,  0.100
   925.000,    875.000,     0.010, 0.3220E+00,  0.100
   925.000,    925.000,     0.010, 0.2893E+00,  0.100
   925.000,    975.000,     0.010, 0.2587E+00,  0.100
   975.000,     25.000,     0.010, 0.9433E+00,  0.100
   975.000,     75.000,     0.010, 0.1158E+01,  0.100
   975.000,    125.000,     0.010, 0.1365E+01,  0.100
   975.000,    175.000,     0.010, 0.1516E+01,  0.100
   975.000,    225.000,     0.010, 0.1574E+01,  0.100
   975.000,    275.000,     0.010, 0.1527E+01,  0.100
   975.000,    325.000,     0.010, 0.1385E+01,  0.100
   975.000,    375.000,     0.010, 0.1185E+01,  0.100
   975.000,    425.000,     0.010, 0.9740E+00,  0.100
   975.000,    475.000,     0.010, 0.7850E+00,  0.100
   975.000,    525.000,     0.010, 0.6274E+00,  0.100
   975.000,    575.000,     0.010, 0.4992E+00,  0.100
   975.000,    625.000,     0.010, 0.3969E+00,  0.100
   975.000,    675.000,     0.010, 0.3181E+00,  0.100
   975.000,    725.000,     0.010, 0.2611E+00,  0.100
   975.000,    775.000,     0.010, 0.2233E+00,  0.100
   975.000,    825.000,     0.010, 0.2009E+00,  0.100
   975.000,    875.000,     0.010, 0.1885E+00,  0.100
   975.000,    925.000,     0.010, 0.1807E+00,  0.100
   975.000,    975.000,     0.010, 0.1733E+00,  0.100
  1025.000,     25.000,     0.010, 0.1004E+01,  0.100
  1025.000,     75.000,     0.010, 0.1284E+01,  0.100
  1025.000,    125.000,     0.010, 0.1570E+01,  0.100
  1025.000,    175.000,     0.010, 0.1777E+01,  0.100
  1025.000,    225.000,     0.010, 0.1850E+01,  0.100
  1025.000,    275.000,     0.010, 0.1776E+01,  0.100
  1025.000,    325.000,     0.010, 0.1566E+01,  0.100
  1025.000,    375.000,     0.010, 0.1272E+01,  0.100
  1025.000,    425.000,     0.010, 0.9774E+00,  0.100
  1025.000,    475.000,     0.010, 0.7266E+00,  0.100
  1025.000,    525.000,     0.010, 0.5211E+00,  0.100
  1025.000,    575.000,     0.010, 0.3517E+00,  0.100
  1025.000,    625.000,     0.010, 0.2146E+00,  0.100
  1025.000,    675.000,     0.010, 0.1121E+00,  0.100
  1025.000,    725.000,     0.010, 0.4688E-01,  0.100
  1025.000,    775.000,     0.010, 0.1770E-01,  0.100
  1025.000,    825.000,     0.010, 0.1834E-01,  0.100
  1025.000,    875.000,     0.010, 0.3759E-01,  0.100
  1025.000,    925.000,     0.010, 0.6255E-01,  0.100
  1025.000,    975.000,     0.010, 0.8379E-01,  0.100
  1075.000,     25.000,     0.010, 0.1047E+01,  0.100
  1075.000,     75.000,     0.010, 0.1413E+01,  0.100
  1075.000,    125.000,     0.010, 0.1823E+01,  0.100
  1075.000,    175.000,     0.010, 0.2110E+01,  0.100
  1075.000,    225.000,     0.010, 0.2204E+01,  0.100
  1075.000,    275.000,     0.010, 0.2099E+01,  0.100
  1075.000,    325.000,     0.010, 0.1796E+01,  0.100
  1075.000,    375.000,     0.010, 0.1364E+01,  0.100
  1075.000,    425.000,     0.010, 0.9625E+00,  0.100
  1075.000,    475.000,     0.010, 0.6466E+00,  0.100
  1075.000,    525.000,     0.010, 0.3905E+00,  0.100
  1075.000,    575.000,     0.010, 0.1712E+00,  0.100
  1075.000,    625.000,     0.010,-0.1308E-01,  0.100
  1075.000,    675.000,     0.010,-0.1490E+00,  0.100
  1075.000,    725.000,     0.010,-0.2252E+00,  0.100
  1075.000,    775.000,     0.010,-0.2407E+00,  0.100
  1075.000,    825.000,     0.010,-0.2046E+00,  0.100
  1075.000,    875.000,     0.010,-0.1376E+00,  0.100
  1075.000,    925.000,     0.010,-0.6653E-01,  0.100
  1075.000,    975.000,     0.010,-0.8845E-02,  0.100
  1125.000,     25.000,     0.010, 0.1048E+01,  0.100
  1125.000,     75.000,     0.010, 0.1498E+01,  0.100
  1125.000,    125.000,     0.010, 0.2057E+01,  0.100
  1125.000,    175.000,     0.010, 0.2427E+01,  0.100
  1125.000,    225.000,     0.010, 0.2537E+01,  0.100
  1125.000,    275.000,     0.010, 0.2406E+01,  0.100
  1125.000,    325.000,     0.010, 0.2011E+01,  0.100
  1125.000,    375.000,     0.010, 0.1415E+01,  0.100
  1125.000,    425.000,     0.010, 0.9103E+00,  0.100
  1125.000,    475.000,     0.010, 0.5414E+00,  0.100
  1125.000,    525.000,     0.010, 0.2381E+00,  0.100
  1125.000,    575.000,     0.010,-0.4003E-01,  0.100
  1125.000,    625.000,     0.010,-0.2884E+00,  0.100
  1125.000,    675.000,     0.010,-0.4705E+00,  0.100
  1125.000,    725.000,     0.010,-0.5612E+00,  0.100
  1125.000,    775.000,     0.010,-0.5573E+00,  0.100
  1125.000,    825.000,     0.010,-0.4700E+00,  0.100
  1125.000,    875.000,     0.010,-0.3342E+00,  0.100
  1125.000,    925.000,     0.010,-0.2011E+00,  0.100
  1125.000,    975.000,     0.010,-0.9969E-01,  0.100
  1175.000,     25.000,     0.010, 0.9861E+00,  0.100
  1175.000,     75.000,     0.010, 0.1453E+01,  0.100
  1175.000,    125.000,     0.010, 0.2053E+01,  0.100
  1175.000,    175.000,     0.010, 0.2444E+01,  0.100
  1175.000,    225.000,     0.010, 0.2554E+01,  0.100
  1175.000,    275.000,     0.010, 0.2415E+01,  0.100
  1175.000,    325.000,     0.010, 0.1990E+01,  0.100
  1175.000,    375.000,     0.010, 0.1342E+01,  0.100
  1175.000,    425.000,     0.010, 0.8051E+00,  0.100
  1175.000,    475.000,     0.010, 0.4168E+00,  0.100
  1175.000,    525.000,     0.010, 0.8230E-01,  0.100
  1175.000,    575.000,     0.010,-0.2505E+00,  0.100
